Name,Capacity,Location,Surface,Roof_Type,Team(s),Opened,Geo
Acrisure Stadium,68400,"Pittsburgh, Pennsylvania",Kentucky bluegrass,Open,Pittsburgh Steelers,2001,"40.446667, -80.015833"
Allegiant Stadium,65000,"Paradise, Nevada",Bermuda grass,Fixed,Las Vegas Raiders,2020,"36.090556, -115.183889"
Arrowhead Stadium,76416,"Kansas City, Missouri",Bermuda grass,Open,Kansas City Chiefs,1972,"39.048889, -94.483889"
AT&T Stadium,80000,"Arlington, Texas",Hellas Matrix Turf,Retractable,Dallas Cowboys,2009,"32.747778, -97.092778"
Bank of America Stadium,74867,"Charlotte, North Carolina",FieldTurf,Open,Carolina Panthers,1996,"35.225833, -80.852778"
Caesars Superdome,73208,"New Orleans, Louisiana",FieldTurf Revolution 360,Fixed,New Orleans Saints,1975,"29.950833, -90.081111"
Cleveland Browns Stadium,67431,"Cleveland, Ohio",Kentucky bluegrass,Open,Cleveland Browns,1999,"41.506111, -81.699444"
Commanders Field,65000,"Landover, Maryland",Bermuda grass,Open,Washington Commanders,1997,"38.907778, -76.864444"
Empower Field at Mile High,76125,"Denver, Colorado",Kentucky bluegrass,Open,Denver Broncos,2001,"39.743889, -105.02"
EverBank Stadium,67838,"Jacksonville, Florida",Bermuda grass,Open,Jacksonville Jaguars,1995,"30.323889, -81.6375"
Ford Field,65000,"Detroit, Michigan",FieldTurf CORE,Fixed,Detroit Lions,2002,"42.34, -83.045556"
Gillette Stadium,66829,"Foxborough, Massachusetts",FieldTurf CORE,Open,New England Patriots,2002,"42.091, -71.264"
Hard Rock Stadium,65326,"Miami Gardens, Florida",Bermuda grass,Open,Miami Dolphins,1987,"25.958056, -80.238889"
Highmark Stadium,71608,"Orchard Park, New York",A-Turf Titan 50,Open,Buffalo Bills,1973,"42.774, -78.787"
Lambeau Field,81441,"Green Bay, Wisconsin",Kentucky bluegrass reinforced with SIS Grass.,Open,Green Bay Packers,1957,"44.501389, -88.062222"
Levi's Stadium,68500,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open,San Francisco 49ers,2014,"37.403, -121.97"
Lincoln Financial Field,69596,"Philadelphia, Pennsylvania",GrassMaster,Open,Philadelphia Eagles,2003,"39.900833, -75.1675"
Lucas Oil Stadium,67000,"Indianapolis, Indiana",Shaw Sports Momentum Pro,Retractable,Indianapolis Colts,2008,"39.760056, -86.163806"
Lumen Field,69000,"Seattle, Washington",FieldTurf Revolution 360,Open,Seattle Seahawks,2002,"47.5952, -122.3316"
M&T Bank Stadium,71008,"Baltimore, Maryland",Bermuda grass,Open,Baltimore Ravens,1998,"39.278056, -76.622778"
Mercedes-Benz Stadium,71000,"Atlanta, Georgia",FieldTurf Revolution,Retractable,Atlanta Falcons,2017,"33.755556, -84.4"
MetLife Stadium,82000,"East Rutherford, New Jersey",FieldTurf Core,Open,"New York Giants, New York Jets",2010,"40.813528, -74.074361"
Nissan Stadium,69143,"Nashville, Tennessee",Matrix Helix Turf with organic infill,Open,Tennessee Titans,1999,"36.166389, -86.771389"
NRG Stadium,72220,"Houston, Texas",Hellas Matrix Turf,Retractable,Houston Texans,2002,"29.684722, -95.410833"
Paycor Stadium,65515,"Cincinnati, Ohio",UBU Speed Series S5-M Synthetic Turf,Open,Cincinnati Bengals,2000,"39.095, -84.516"
Raymond James Stadium,69218,"Tampa, Florida",Bermuda grass,Open,Tampa Bay Buccaneers,1998,"27.975833, -82.503333"
SoFi Stadium,70240,"Inglewood, California",Hellas Matrix Turf,Fixed,"Los Angeles Rams, Los Angeles Chargers",2020,"33.953, -118.339"
Soldier Field,61500,"Chicago, Illinois",Bermuda grass,Open,Chicago Bears,1924,"41.8623, -87.6167"
State Farm Stadium,63400,"Glendale, Arizona",Bermuda grass,Retractable,Arizona Cardinals,2006,"33.528, -112.263"
U.S. Bank Stadium,66655,"Minneapolis, Minnesota",UBU Speed Series S5-M Synthetic Turf,Fixed,Minnesota Vikings,2016,"44.974, -93.258"
